depth_nm,initial_concentration_cm3,final_concentration_cm3
1.25,537831640170636.9,4.017414709439153e+16
3.7500000000000004,558019917286115.44,4.039443473009994e+16
6.25,598944172640412.5,4.083525683611213e+16
8.75,661707830749698.2,4.149710376613225e+16
11.25,747986040857870.0,4.238070277608173e+16
13.75,860049568251432.5,4.348700813400512e+16
16.25,1000796435291372.1,4.4817187999179416e+16
18.75,1173791112922759.5,4.637260812715869e+16
21.25,1383310994323468.5,4.815481247194929e+16
23.75,1634399801046156.8,5.0165500771158984e+16
26.25,1932927476714318.0,5.240650321478486e+16
28.75,2285656012648188.0,5.487975231332299e+16
31.25,2700310522758858.5,5.758725209607984e+16
33.75,3185654741211847.0,6.0531044785920456e+16
36.25000000000001,3751569955865371.5,6.3713175112170056e+16
38.75,4409136214126833.0,6.7135652438947064e+16
41.25,5170714447158873.0,7.080041090176871e+16
43.75,6050027955592613.0,7.470926776078083e+16
46.25,7062241488184004.0,7.8863880194297e+16
48.75,8224035928144955.0,8.326570077141013e+16
51.25,9553676385028910.0,8.79159318571155e+16
53.75,1.107107127874127e+16,9.281547921753755e+16
56.25000000000001,1.2797819802995252e+16,9.796490510633242e+16
58.75,1.4757244975614906e+16,1.0336438112598133e+17
61.24999999999999,1.6974409330432858e+16,1.0901364116934162e+17
63.75,1.9476110188602616e+16,1.1491193475730605e+17
66.25,2.229085137476142e+16,1.2105798109754896e+17
68.75,2.5448788224610536e+16,1.2744992419695435e+17
71.25,2.8981642774006824e+16,1.3408528936623347e+17
73.75,3.2922586134094724e+16,1.4096094145926918e+17
76.25,3.730608525020153e+16,1.480730451917189e+17
78.75,4.2167711521014376e+16,1.5541702788320288e+17
81.25,4.754390912448063e+16,1.629875449648328e+17
83.75,5.347172136173755e+16,1.7077844858880438e+17
86.25000000000001,5.998847389201074e+16,1.7878275966913373e+17
88.75,6.713141438926566e+16,1.8699264367228666e+17
91.25,7.493730890229051e+16,1.953993904633482e+17
93.75,8.344199603776963e+16,2.0399339849748826e+17
96.25,9.26799010016561e+16,2.127641636277154e+17
98.75000000000001,1.0268351251546512e+17,2.2170027277837686e+17
101.25,1.134828266555018e+17,2.3078940270949254e+17
103.75,1.251047627258664e+17,2.4001832406997904e+17
106.25,1.3757255734880182e+17,2.4937291090813062e+17
108.75,1.5090514401432374e+17,2.588381557756103e+17
111.25,1.6511652634867085e+17,2.6839819052675213e+17
113.75,1.8021515430974458e+17,2.7803631287845165e+17
116.25,1.9620331336813952e+17,2.8773501875750806e+17
118.75,2.1307653745499472e+17,2.974760404222846e+17
121.25,2.3082305702359462e+17,3.072403903042464e+17
123.75,2.4942329395263734e+17,3.170084104726269e+17
126.25000000000001,2.688494151898498e+17,3.26759827582516e+17
128.75,2.89064956972852e+17,3.364738131234476e+17
131.25,3.100245311516646e+17,3.4612904874241754e+17
133.75,3.316736245607906e+17,3.557037963725766e+17
136.25,3.5394850154095194e+17,3.6517597285713626e+17
138.75,3.767762185903019e+17,3.7452322871750784e+17
141.25,4.000747587382228e+17,3.837230306759424e+17
143.75,4.2375329159488416e+17,3.927527475062882e+17
146.25,4.477125631572762e+17,4.015897387522908e+17
148.75,4.7184541737550195e+17,4.102114458216047e+17
151.25,4.9603744923680595e+17,4.185954849355955e+17
153.75,5.201677867507686e+17,4.267197413905474e+17
156.25,5.4410999676464384e+17,4.345624645653101e+17
158.75000000000003,5.677331070550601e+17,4.421023630939044e+17
161.25,5.909027346868133e+17,4.4931869960965715e+17
163.75,6.134823082590463e+17,4.561913844598779e+17
166.25,6.353343694320781e+17,4.6270106778746906e+17
168.75,6.563219371019839e+17,4.6882922937797875e+17
171.25,6.763099158194751e+17,4.7455826567772326e+17
173.75,6.951665285852833e+17,4.7987157340061696e+17
176.25,7.127647530407703e+17,4.84753629158328e+17
178.75,7.289837393472899e+17,4.891900645701066e+17
181.25,7.437101877397272e+17,4.931677363350993e+17
183.75,7.568396638677682e+17,4.966747907809222e+17
186.25000000000003,7.682778306114977e+17,4.997007224374377e+17
188.75,7.779415760735587e+17,5.022364262239292e+17
191.25,7.857600188947991e+17,5.0427424288065683e+17
193.75,7.916753738895265e+17,5.0580799732197914e+17
196.25,7.956436632150127e+17,5.068330296372178e+17
198.75,7.976352608327761e+17,5.073462185169873e+17
201.25,7.976352608327721e+17,5.073459969361624e+17
203.75,7.956436632149998e+17,5.068323599797248e+17
206.25,7.916753738895027e+17,5.0580686475372224e+17
208.75,7.85760018894761e+17,5.0427262238015795e+17
211.25000000000003,7.779415760735005e+17,5.02234282131138e+17
213.75,7.682778306114108e+17,4.9969800781361754e+17
216.25,7.568396638676397e+17,4.966714465710726e+17
218.75,7.437101877395384e+17,4.9316369032185024e+17
221.25,7.289837393470132e+17,4.891852301053618e+17
223.75,7.127647530403667e+17,4.847479036562446e+17
226.25,6.951665285846963e+17,4.798648365726175e+17
228.75,6.76309915818623e+17,4.74550377487293e+17
231.25,6.563219371007501e+17,4.688200276898471e+17
233.75,6.353343694302963e+17,4.626903656824859e+17
236.25000000000003,6.134823082564797e+17,4.5617896718341274e+17
238.75,5.90902734683126e+17,4.4930432111765824e+17
241.25000000000003,5.6773310704977434e+17,4.420857421568914e+17
243.75,5.44109996757087e+17,4.345432803864409e+17
246.25000000000003,5.201677867399911e+17,4.2669762868957075e+17
248.75,4.9603744922147424e+17,4.185700284458963e+17
251.25000000000003,4.718454173537448e+17,4.1018217414275386e+17
253.75,4.4771256312647885e+17,4.015561174953593e+17
256.25,4.237532915513992e+17,3.9271417166391046e+17
258.75,4.000747586769752e+17,3.836788161434585e+17
261.25,3.767762185042528e+17,3.74472602885682e+17
